|id|lat|lng|lat_long|geographical_raw_data|geographical_hood_data
0|3-1-1507|-34.559976|-58.50454|('-34.559976', '-58.50454')|{'place_id': 165114550, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 405238012, 'lat': '-34.55980515', 'lon': '-58.5045317559202', 'display_name': 'Parque Cornelio Saavedra, Comuna 12, Saavedra, CABA, Argentina', 'address': {'neighbourhood': 'Parque Cornelio Saavedra', 'suburb': 'Saavedra', 'city': 'CABA', 'state': 'CABA', 'country': 'Argentina', 'country_code': 'ar'}, 'boundingbox': ['-34.5606644', '-34.5589491', '-58.5049796', '-58.5040407']}|Saavedra
1|10-3-675|-34.540038|-58.474738|('-34.540038', '-58.474738')|{'place_id': 15536644, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 264693125, 'lat': '-34.5400164326531', 'lon': '-58.4746986285714', 'display_name': '4897, Avenida Cabildo, Comuna 13, Núñez, CABA, C1429ABG, Argentina', 'address': {'house_number': '4897', 'road': 'Avenida Cabildo', 'suburb': 'Núñez', 'city': 'CABA', 'state': 'CABA', 'postcode': 'C1429ABG', 'country': 'Argentina', 'country_code': 'ar'}, 'boundingbox': ['-34.540116432653', '-34.539916432653', '-58.474798628571', '-58.474598628571']}|Núñez
2|3-1-1506|-34.559454|-58.505028|('-34.559454', '-58.505028')|{'place_id': 165528536, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 405238013, 'lat': '-34.55933135', 'lon': '-58.5049598135455', 'display_name': 'Parque Cornelio Saavedra, Comuna 12, Saavedra, CABA, Argentina', 'address': {'neighbourhood': 'Parque Cornelio Saavedra', 'suburb': 'Saavedra', 'city': 'CABA', 'state': 'CABA', 'country': 'Argentina', 'country_code': 'ar'}, 'boundingbox': ['-34.5604256', '-34.5587904', '-58.5055524', '-58.5045782']}|Saavedra
3|3-1-29|-34.541473|-58.47384|('-34.541473', '-58.47384')|{'place_id': 15536722, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 264693134, 'lat': '-34.5413584', 'lon': '-58.4737054', 'display_name': '4701, Avenida Cabildo, Comuna 13, Núñez, CABA, C1429ABF, Argentina', 'address': {'house_number': '4701', 'road': 'Avenida Cabildo', 'suburb': 'Núñez', 'city': 'CABA', 'state': 'CABA', 'postcode': 'C1429ABF', 'country': 'Argentina', 'country_code': 'ar'}, 'boundingbox': ['-34.5414584', '-34.5412584', '-58.4738054', '-58.4736054']}|Núñez
4|10-3-300|-34.540539|-58.472052|('-34.540539', '-58.472052')|{'place_id': 16713819, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 301867633, 'lat': '-34.5405489612245', 'lon': '-58.4720525938775', 'display_name': '2233, Deheza, Comuna 13, Núñez, CABA, ?, Argentina', 'address': {'house_number': '2233', 'road': 'Deheza', 'suburb': 'Núñez', 'city': 'CABA', 'state': 'CABA', 'postcode': '?', 'country': 'Argentina', 'country_code': 'ar'}, 'boundingbox': ['-34.540648961225', '-34.540448961224', '-58.472152593878', '-58.471952593877']}|Núñez
5|15-1-111|-34.542076|-58.4733624|('-34.542076', '-58.4733624')|{'place_id': 15536687, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 264693130, 'lat': '-34.5419738367347', 'lon': '-58.4732236081633', 'display_name': '4627, Avenida Cabildo, Comuna 13, Núñez, CABA, C1429ABE, Argentina', 'address': {'house_number': '4627', 'road': 'Avenida Cabildo', 'suburb': 'Núñez', 'city': 'CABA', 'state': 'CABA', 'postcode': 'C1429ABE', 'country': 'Argentina', 'country_code': 'ar'}, 'boundingbox': ['-34.542073836735', '-34.541873836735', '-58.473323608163', '-58.473123608163']}|Núñez
6|15-1-498|-34.5512734|-58.4871771|('-34.5512734', '-58.4871771')|{'place_id': 13435941, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 218798718, 'lat': '-34.5513123979592', 'lon': '-58.4871574755102', 'display_name': '3942, Avenida Ruiz Huidobro, Parque Cornelio Saavedra, Comuna 12, Saavedra, CABA, C1429AAL, Argentina', 'address': {'house_number': '3942', 'road': 'Avenida Ruiz Huidobro', 'neighbourhood': 'Parque Cornelio Saavedra', 'suburb': 'Saavedra', 'city': 'CABA', 'state': 'CABA', 'postcode': 'C1429AAL', 'country': 'Argentina', 'country_code': 'ar'}, 'boundingbox': ['-34.551412397959', '-34.551212397959', '-58.48725747551', '-58.48705747551']}|Saavedra
7|15-1-430|-34.55308|-58.48897|('-34.55308', '-58.48897')|{'place_id': 53346423, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'node', 'osm_id': 4253670760, 'lat': '-34.5530927', 'lon': '-58.4889552', 'display_name': '4301, Besares, Parque Cornelio Saavedra, Comuna 12, Saavedra, CABA, C1430DHI, Argentina', 'address': {'house_number': '4301', 'road': 'Besares', 'neighbourhood': 'Parque Cornelio Saavedra', 'suburb': 'Saavedra', 'city': 'CABA', 'state': 'CABA', 'postcode': 'C1430DHI', 'country': 'Argentina', 'country_code': 'ar'}, 'boundingbox': ['-34.5531927', '-34.5529927', '-58.4890552', '-58.4888552']}|Saavedra
8|10-3-536|-34.554987|-58.490865|('-34.554987', '-58.490865')|{'place_id': 16973577, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 305157926, 'lat': '-34.5549524938776', 'lon': '-58.4908621142857', 'display_name': '4219, Avenida Doctor Ricardo Balbín, Parque Cornelio Saavedra, Comuna 12, Saavedra, CABA, C1430DHI, Argentina', 'address': {'house_number': '4219', 'road': 'Avenida Doctor Ricardo Balbín', 'neighbourhood': 'Parque Cornelio Saavedra', 'suburb': 'Saavedra', 'city': 'CABA', 'state': 'CABA', 'postcode': 'C1430DHI', 'country': 'Argentina', 'country_code': 'ar'}, 'boundingbox': ['-34.555052493878', '-34.554852493878', '-58.490962114286', '-58.490762114286']}|Saavedra
9|23-1-6223|-34.5638|-58.4986|('-34.5638', '-58.4986')|{'place_id': 16973778, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 305157950, 'lat': '-34.5642617647059', 'lon': '-58.4983704117647', 'display_name': '5525, Avenida Crisólogo Larralde, Parque Cornelio Saavedra, Comuna 12, Villa Urquiza, CABA, C1431DUB, Argentina', 'address': {'house_number': '5525', 'road': 'Avenida Crisólogo Larralde', 'neighbourhood': 'Parque Cornelio Saavedra', 'suburb': 'Villa Urquiza', 'city': 'CABA', 'state': 'CABA', 'postcode': 'C1431DUB', 'country': 'Argentina', 'country_code': 'ar'}, 'boundingbox': ['-34.564361764706', '-34.564161764706', '-58.498470411765', '-58.498270411765']}|Villa Urquiza
10|15-1-542|-34.544364|-58.471821|('-34.544364', '-58.471821')|{'place_id': 15537163, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 264694080, 'lat': '-34.5444139285714', 'lon': '-58.471903', 'display_name': '4330, Avenida Cabildo, Comuna 12, Saavedra, CABA, C1429ABO, Argentina', 'address': {'house_number': '4330', 'road': 'Avenida Cabildo', 'suburb': 'Saavedra', 'city': 'CABA', 'state': 'CABA', 'postcode': 'C1429ABO', 'country': 'Argentina', 'country_code': 'ar'}, 'boundingbox': ['-34.544513928571', '-34.544313928571', '-58.472003', '-58.471803']}|Saavedra
11|19-1-00007|-34.54595|-58.47088|('-34.54595', '-58.47088')|{'place_id': 57404230, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'node', 'osm_id': 4687359752, 'lat': '-34.5459574', 'lon': '-58.4708382', 'display_name': 'YPF, Avenida Cabildo, Comuna 12, Saavedra, CABA, C1429AAM, Argentina', 'address': {'fuel': 'YPF', 'road': 'Avenida Cabildo', 'suburb': 'Saavedra', 'city': 'CABA', 'state': 'CABA', 'postcode': 'C1429AAM', 'country': 'Argentina', 'country_code': 'ar'}, 'boundingbox': ['-34.5460574', '-34.5458574', '-58.4709382', '-58.4707382']}|Saavedra
12|9-1-665|-34.5545|-58.4835|('-34.5545', '-58.4835')|{'place_id': 177614128, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 472678292, 'lat': '-34.55440125', 'lon': '-58.4836984020045', 'display_name': 'Vea, Manzanares, Comuna 12, Saavedra, CABA, C1430DHI, Argentina', 'address': {'supermarket': 'Vea', 'road': 'Manzanares', 'suburb': 'Saavedra', 'city': 'CABA', 'state': 'CABA', 'postcode': 'C1430DHI', 'country': 'Argentina', 'country_code': 'ar'}, 'boundingbox': ['-34.5546327', '-34.554239', '-58.4838956', '-58.4834471']}|Saavedra
13|12-1-108|-34.5458941|-58.4705622|('-34.5458941', '-58.4705622')|{'place_id': 15536670, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 264693128, 'lat': '-34.54578911563', 'lon': '-58.470430170491', 'display_name': '4125, Avenida Cabildo, Comuna 13, Núñez, CABA, C1429AAM, Argentina', 'address': {'house_number': '4125', 'road': 'Avenida Cabildo', 'suburb': 'Núñez', 'city': 'CABA', 'state': 'CABA', 'postcode': 'C1429AAM', 'country': 'Argentina', 'country_code': 'ar'}, 'boundingbox': ['-34.54588911563', '-34.54568911563', '-58.470530170491', '-58.470330170491']}|Núñez
14|3-1-1553|-34.54162|-58.46314|('-34.54162', '-58.46314')|{'place_id': 16620814, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 301420256, 'lat': '-34.5415474', 'lon': '-58.4629325', 'display_name': '7999, Avenida del Libertador, Barrio River, Comuna 13, Núñez, CABA, C1426ABC, Argentina', 'address': {'house_number': '7999', 'road': 'Avenida del Libertador', 'neighbourhood': 'Barrio River', 'suburb': 'Núñez', 'city': 'CABA', 'state': 'CABA', 'postcode': 'C1426ABC', 'country': 'Argentina', 'country_code': 'ar'}, 'boundingbox': ['-34.5416474', '-34.5414474', '-58.4630325', '-58.4628325']}|Núñez
15|10-3-574|-34.550187|-58.4766|('-34.550187', '-58.4766')|{'place_id': 16876271, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 304038565, 'lat': '-34.5502170897959', 'lon': '-58.4765970897959', 'display_name': '3160, Avenida García del Río, Comuna 12, Saavedra, CABA, C1429ABN, Argentina', 'address': {'house_number': '3160', 'road': 'Avenida García del Río', 'suburb': 'Saavedra', 'city': 'CABA', 'state': 'CABA', 'postcode': 'C1429ABN', 'country': 'Argentina', 'country_code': 'ar'}, 'boundingbox': ['-34.550317089796', '-34.550117089796', '-58.476697089796', '-58.476497089796']}|Saavedra
16|12-1-181|-34.5549061|-58.4870293|('-34.5549061', '-58.4870293')|{'place_id': 16973934, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 305157969, 'lat': '-34.5547675421053', 'lon': '-58.4870420263158', 'display_name': '4029, Avenida Doctor Ricardo Balbín, Parque Cornelio Saavedra, Comuna 12, Saavedra, CABA, C1430DHI, Argentina', 'address': {'house_number': '4029', 'road': 'Avenida Doctor Ricardo Balbín', 'neighbourhood': 'Parque Cornelio Saavedra', 'suburb': 'Saavedra', 'city': 'CABA', 'state': 'CABA', 'postcode': 'C1430DHI', 'country': 'Argentina', 'country_code': 'ar'}, 'boundingbox': ['-34.554867542105', '-34.554667542105', '-58.487142026316', '-58.486942026316']}|Saavedra
